Structure,N2(30%),pmax,tau,ninc,F0
SCR4M2,409000.0,84.7,102.89999999999999,0,1
SCR5M1,84965.0,168.05555555555554,122.5,0,1
SCR5M2,680000.0,84.7,102.89999999999999,0,1
SCR6M2,64031.0,168.05555555555554,122.5,0,1
SCR9M1,44000.0,157.29999999999998,191.1,0,1
F1,511000.0,122.46666666666667,68.6,0,1
F14,58000.0,176.0,132.0,0,1
F15,55000.0,187.0,147.0,0,1
F16,58000.0,150.7,102.89999999999999,0,1
F17,139000.0,150.7,102.89999999999999,0,1
F18,121000.0,143.0,92.4,0,1
F19,94000.0,150.7,102.89999999999999,0,1
F2,128000.0,150.7,102.89999999999999,0,1
F20,197000.0,143.0,92.4,0,1
F21,106000.0,150.7,102.89999999999999,0,1
F22,133000.0,150.7,102.89999999999999,0,1
F3,181000.0,150.7,102.89999999999999,0,1
F4,185000.0,150.7,102.89999999999999,0,1
F5,98500.0,220.0,92.4,0,1
F6,66000.0,220.0,92.4,0,1
F7,43500.0,220.0,92.4,0,1
F8,63000.0,220.0,92.4,0,1
F9,178000.0,150.7,102.89999999999999,0,1
